,Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other.1, Other.2, Other.3, Other.4, Other.5, Other.6, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other.7, Timestamp (Formatted)
45,84.0,85455.85995386362,109472.92112981332,0.0,-187500.02235174447,-41639.04239404707,-51786.10852791173,-48534.60026199821,-54708.77792939877,-52025.830987194895,187500.0,-21793.576692769133,-43352.10244084626,-52892.51987844943,-60237.92895530808,0.0,-24192.768239112884,0.19525,0.92275,0.222,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985902.243656,0.0, 2022-03-22 22:51:42.243
46,86.0,86290.51879531369,102434.49091130387,0.0,-187500.02235174447,-42945.054822570666,-52211.64103885186,-49165.366490526976,-53849.643927770136,-52879.84643934327,187500.0,-22513.45932644121,-44251.98367261692,-53613.833023766645,-60984.05253697068,0.0,-24346.43648224312,0.19525,0.92275,0.222,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985902.251536,0.0, 2022-03-22 22:51:42.251
47,88.0,86089.12957777138,94325.5685955964,0.0,-187500.02235174447,-41402.20330979864,-51312.07273150358,-48094.24854448421,-53999.84765050979,-52041.11958040233,187500.0,-21489.950596088245,-43444.52690416895,-52565.58091230165,-60066.3793166136,0.0,-23829.99942660325,0.194625,0.923375,0.227,192.0,3.0,8.0,14.0,112.0,3.5,32.0,0.0,0.0,0.0,1647985902.25885,0.0, 2022-03-22 22:51:42.258
48,90.0,85592.45146423,114886.3124711886,0.0,-187500.02235174447,-42561.67770167324,-52334.70974382279,-49149.31793800807,-54609.60323925057,-52519.26809779026,187500.0,-22402.95230185417,-43841.695051395305,-53498.45331888835,-60785.45728748528,0.0,-24485.59844322186,0.194625,0.923375,0.227,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985902.266641,0.0, 2022-03-22 22:51:42.266
49,92.0,86618.26242426186,89834.14200951363,0.0,-187500.02235174447,-42293.92615484312,-51642.56562501975,-48568.463154848,-53473.19584765385,-52528.72288569485,187500.0,-21916.6230459956,-43951.732689348784,-52986.97835051756,-60497.6785776232,0.0,-23938.338331978124,0.194625,0.923375,0.227,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985902.273358,0.0, 2022-03-22 22:51:42.273
50,94.0,85486.7277129564,109395.96407365373,0.0,-187500.02235174447,-41625.2737194626,-51777.301940596335,-48492.66838940005,-54693.17641176897,-52016.756178946045,187500.0,-21786.78176245472,-43347.47562974401,-52871.15161075015,-60235.96200179601,0.0,-24184.766314597884,0.194625,0.923375,0.227,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985902.283067,0.0, 2022-03-22 22:51:42.283
51,96.0,86310.74712404575,102653.11332382124,0.0,-187500.02235174447,-42934.01306080974,-52208.71296032822,-49145.85341761749,-53847.20758762451,-52867.75414559295,187500.0,-22512.18527700726,-44239.84667537769,-53610.256744653794,-60974.55304557718,0.0,-24347.419958999155,0.194625,0.923375,0.227,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985902.289116,0.0, 2022-03-22 22:51:42.289
52,98.0,86108.86616812542,94267.18583907912,0.0,-187500.02235174447,-41405.01962960001,-51324.99203979874,-48108.35249523551,-54010.5988395928,-52036.40336232226,187500.0,-21483.06625879601,-43440.414183189176,-52566.92201696897,-60060.165531655024,0.0,-23829.75355741424,0.1913125,0.9216875,0.2275,192.0,2.5,112.0,14.0,96.0,3.5,16.0,0.0,0.0,0.0,1647985902.296543,0.0, 2022-03-22 22:51:42.296
53,100.0,85600.76631316738,114959.42502730191,0.0,-187500.02235174447,-42563.35408250739,-52340.58825261453,-49152.916568865374,-54629.9433267049,-52521.77149316925,187500.0,-22401.05240357547,-43836.44239144831,-53494.631170586494,-60779.37761299344,0.0,-24487.69950720066,0.1913125,0.9216875,0.2275,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985902.304117,0.0, 2022-03-22 22:51:42.304
54,102.0,86635.65208144809,89912.26135638492,0.0,-187500.02235174447,-42288.33821872929,-51653.62973852512,-48568.44080310355,-53482.874153003,-52532.79090318572,187500.0,-21917.58417100718,-43949.564570136616,-52989.951132530114,-60495.91278981124,0.0,-23942.585163424632,0.1913125,0.9216875,0.2275,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985902.311071,0.0, 2022-03-22 22:51:42.311
55,104.0,85499.22233810692,109237.55726069896,0.0,-187500.02235174447,-41610.09688497745,-51773.92682718359,-48474.11644150215,-54698.92081009398,-52006.02734160749,187500.0,-21769.12388433503,-43327.87314985671,-52850.69976457355,-60216.71714981999,0.0,-24175.847968560214,0.1913125,0.9216875,0.2275,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985902.317765,0.0, 2022-03-22 22:51:42.317
56,106.0,86306.67910655489,102827.72515150608,0.0,-187500.02235174447,-42931.57672066411,-52233.03165829559,-49150.83785663103,-53881.56221885231,-52882.506296933454,187500.0,-22517.72850963217,-44242.79710564579,-53614.61533482258,-60984.5442753487,0.0,-24346.61529619876,0.1913125,0.9216875,0.2275,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985902.33378,0.0, 2022-03-22 22:51:42.333
57,108.0,86117.71745892972,94130.72843917948,0.0,-187500.02235174447,-41402.65034468775,-51329.48474043426,-48102.742207377225,-54010.82235703735,-52057.078725943415,187500.0,-21480.65227039484,-43448.86314259328,-52568.88897048104,-60065.753467768845,0.0,-23824.43384223388,0.18765625,0.92784375,0.22775,192.0,2.5,96.0,14.5,24.0,3.5,16.0,0.0,0.0,0.0,1647985902.341074,0.0, 2022-03-22 22:51:42.341
58,110.0,85594.21725204197,115025.8544118231,0.0,-187500.02235174447,-42538.25307348408,-52334.21800544477,-49126.988545297216,-54633.9442889624,-52530.06399036217,187500.0,-22388.647185402773,-43835.9953565592,-53494.13943220848,-60779.802296138085,0.0,-24481.575129219906,0.18765625,0.92784375,0.22775,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985902.350513,0.0, 2022-03-22 22:51:42.350
